Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,,value,package,description
"RN1, RN2",301030012,2,,,,Array Chip Resistor
"IC2, IC3, IC4, IC5",74541PW,2,,,TSSOP20,"Octal BUFFER and LINE DRIVER, 3-state"
"C6, C7, C9, C10, C13",C-EUC0805,5,,100nF,C0805,"CAPACITOR, European symbol"
C5,C-EUC0805K,1,,3.3nF,C0805K,"CAPACITOR, European symbol"
C8,C-EUC0805K,1,,10nF,C0805K,"CAPACITOR, European symbol"
"C1, C4",153CLV-0605,2,,100uF,153CLV-0605,"POLARIZED CAPACITOR, European symbol"
"C11, C12",302030053,2,,220uF,153CLV-0807,"POLARIZED CAPACITOR, European symbol"
D2,DIODE-DO214BA,1,,,DO214BA,DIODE
S1,DTSM-6,1,,,DTSM-6,TACTILE BUTTON
"A_STP, B_STP, D13, PWR, PWR1, RX_LED, TX_LED",304090039,7,,yellow,CHIP-LED0805,LED
L1,303010016,1,,1uH,PIS2816,"INDUCTOR, European symbol"
IC1,MP2307,1,,,SOIC8,
"R2, R19",301010299,2,,10k,R0805,"RESISTOR, European symbol"
R4,301010089,1,,100k,R0805,"RESISTOR, European symbol"
R7,301010198,1,,6.8k,R0805,"RESISTOR, European symbol"
R9,R0807,1,,44.2k 1%,R0805,"RESISTOR, European symbol"
R10,301010299,1,,10k 1%,R0805,"RESISTOR, European symbol"
R12,301010311,1,,1K,R0805,"RESISTOR, European symbol"
"R13, R26",301010096,2,,10,R0805,"RESISTOR, European symbol"
